City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,50.11,34,0,23.02,clear sky
1,Nisia Floresta,BR,-6.0911,-35.2086,79.43,78,6,10.56,clear sky
2,Jamestown,US,42.097,-79.2353,42.39,50,1,8.99,clear sky
3,Quipapa,BR,-8.8278,-36.0117,72.43,86,24,10.71,few clouds
4,Bratsk,RU,56.1325,101.6142,5.49,94,100,5.53,overcast clouds
5,Bluff,NZ,-46.6,168.3333,61.81,71,26,4.76,scattered clouds
6,Yellowknife,CA,62.456,-114.3525,9.41,91,100,5.99,overcast clouds
7,Margate,GB,51.3813,1.3862,53.31,84,99,4.0,overcast clouds
8,Zanjan,IR,36.6736,48.4787,37.87,57,0,2.51,clear sky
9,Dingle,PH,10.9995,122.6711,75.34,92,92,7.99,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,46.06,49,75,26.46,broken clouds
11,Albany,US,42.6001,-73.9662,41.52,41,0,8.3,clear sky
12,Hermanus,ZA,-34.4187,19.2345,64.9,87,57,7.61,broken clouds
13,Sangar,RU,63.9242,127.4739,-31.52,97,91,1.72,overcast clouds
14,Inuvik,CA,68.3499,-133.7218,-5.21,95,100,16.44,overcast clouds
15,Kapaa,US,22.0752,-159.319,80.92,72,75,3.0,broken clouds
16,Vaini,TO,-21.2,-175.2,82.56,83,40,13.8,light rain
17,Bati,ET,11.1833,40.0167,58.39,80,49,4.14,scattered clouds
18,Qaanaaq,GL,77.484,-69.3632,-2.0,69,77,2.26,broken clouds
19,Watsa,CD,3.0372,29.5355,65.48,51,91,3.15,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,99,7.78,overcast clouds
21,Airai,TL,-8.9266,125.4092,62.47,86,100,1.72,overcast clouds
22,Busselton,AU,-33.65,115.3333,47.08,69,100,8.19,overcast clouds
23,Tual,ID,-5.6667,132.75,84.43,72,96,10.67,overcast clouds
24,Leningradskiy,RU,69.3833,178.4167,-31.59,91,3,4.27,clear sky
25,Hobart,AU,-42.8794,147.3294,62.26,65,75,5.01,broken clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,-9.27,96,100,15.26,overcast clouds
27,Freeport,US,40.6576,-73.5832,47.25,44,1,5.01,clear sky
28,Hofn,IS,64.2539,-15.2082,39.92,84,100,3.47,moderate rain
29,Kununurra,AU,-15.7667,128.7333,82.38,74,10,0.0,clear sky
30,Ancud,CL,-41.8697,-73.8203,60.42,65,32,10.83,scattered clouds
31,Sanmenxia,CN,34.7747,111.1814,34.21,63,0,6.4,clear sky
32,Severo-Kurilsk,RU,50.6789,156.125,32.9,86,78,12.03,broken clouds
33,Mataura,NZ,-46.1927,168.8643,61.48,50,64,2.13,broken clouds
34,Te Anau,NZ,-45.4167,167.7167,61.11,62,63,1.88,broken clouds
35,Bhanpuri,IN,21.1,80.9167,59.09,54,23,3.74,few clouds
36,Cabo San Lucas,MX,22.8909,-109.9124,80.51,66,20,3.0,few clouds
37,Sur,OM,22.5667,59.5289,70.61,62,7,5.41,clear sky
38,Carnarvon,AU,-24.8667,113.6333,68.07,73,2,14.97,clear sky
39,Nichinan,JP,31.6,131.3667,47.88,73,4,9.33,clear sky
40,Kavieng,PG,-2.5744,150.7967,84.36,74,100,5.53,overcast clouds
41,Choix,MX,26.7092,-108.3219,82.65,27,15,5.73,few clouds
42,Hithadhoo,MV,-0.6,73.0833,80.98,78,100,10.78,overcast clouds
43,Biak,ID,-0.9131,122.8766,77.27,82,100,2.77,overcast clouds
44,Bambous Virieux,MU,-20.3428,57.7575,74.21,71,100,12.15,overcast clouds
45,Avarua,CK,-21.2078,-159.775,75.25,94,75,1.14,heavy intensity rain
46,Laje,BR,-10.1833,-40.9667,77.49,66,100,6.31,overcast clouds
47,Tiksi,RU,71.6872,128.8694,-19.25,100,100,2.55,overcast clouds
48,Rajec,SK,49.089,18.6401,27.3,91,0,3.44,clear sky
49,Lompoc,US,34.6391,-120.4579,65.1,57,1,14.97,clear sky
50,Umm Lajj,SA,25.0213,37.2685,76.32,45,100,1.74,overcast clouds
51,Balikpapan,ID,-1.2675,116.8289,74.34,91,89,3.44,overcast clouds
52,Cape Town,ZA,-33.9258,18.4232,66.34,81,96,1.99,overcast clouds
53,Fort Nelson,CA,58.8053,-122.7002,0.39,95,100,1.97,overcast clouds
54,Salalah,OM,17.0151,54.0924,73.49,38,0,9.22,clear sky
55,Saskylakh,RU,71.9167,114.0833,-44.95,100,70,3.09,broken clouds
56,Antofagasta,CL,-23.65,-70.4,65.48,73,41,5.84,scattered clouds
57,Tilichiki,RU,60.4667,166.1,-8.16,84,100,16.71,overcast clouds
58,Matara,LK,5.9485,80.5353,76.42,84,97,7.63,light rain
59,Barcelos,PT,41.5388,-8.6151,54.91,82,25,4.63,scattered clouds
60,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,3.91,light snow
61,Roth,DE,49.245,11.0911,39.06,91,100,5.64,overcast clouds
62,Panaba,MX,21.2833,-88.2667,81.82,60,68,13.51,broken clouds
